Key,Prediction,Borough,Neighborhood
47_850.00,2.757969573,Brooklyn,Farragut
81_190.00,2.757300028,Queens,South Jamaica
81_1367.00,2.757137461,Queens,Oakland Gardens
81_516.00,2.751308919,Queens,Queens Village
81_1435.00,2.745345553,Queens,Bayside
81_645.00,2.737308079,Queens,Forest Hills
47_488.00,2.729436341,Brooklyn,Kennsington
81_641.01,2.728917829,Queens,Woodhaven
47_434.00,2.718176109,Brooklyn,Bensonhurst
47_1112.00,2.713522925,Brooklyn,East New York
47_848.00,2.713111693,Brooklyn,East Flatbush
47_1114.00,2.712951917,Brooklyn,East New York
81_637.00,2.709757658,Queens,Middle Village
47_408.00,2.703887934,Brooklyn,Gravesend
47_259.02,2.7021795,Brooklyn,Bedford Stuyvesant  North / Tompkins Park North
47_545.00,2.697624983,Brooklyn,South Williamsburg
47_533.00,2.697443618,Brooklyn,South Williamsburg
81_635.00,2.696872505,Queens,Middle Village
47_556.00,2.685116279,Brooklyn,Manhattan Terrace
47_222.00,2.683490625,Brooklyn,Borough Park
61_112.02,2.6760957,Manhattan,Midtown
81_330.00,2.673787177,Queens,Rochdale
81_1161.00,2.668535285,Queens,Flushing
81_375.00,2.666842913,Queens,Corona
81_532.00,2.662875689,Queens,St. Albans
81_485.00,2.658348981,Queens,Elmhurst
47_36.00,2.652973823,Brooklyn,Bay Ridge
81_1159.00,2.65119831,Queens,Murray Hill (Queens)
81_184.01,2.648041598,Queens,South Jamaica
47_638.00,2.646673126,Brooklyn,Gerritsen Beach
81_467.00,2.645242107,Queens,Elmhurst
47_438.00,2.642269971,Brooklyn,Midwood
47_314.00,2.640670213,Brooklyn,Gravesend
81_381.00,2.635058498,Queens,Corona
47_274.00,2.625594402,Brooklyn,Bensonhurst
81_1039.00,2.623154255,Queens,Bowne Park
47_592.00,2.61622847,Brooklyn,Sheepshead Bay
47_234.00,2.61008756,Brooklyn,Borough Park
81_766.00,2.605474828,Queens,Springfield Gardens
47_974.00,2.603804053,Brooklyn,Canarsie
81_304.00,2.597685039,Queens,Springfield Gardens
81_916.01,2.595583311,Queens,Breezy Point
81_799.00,2.594842897,Queens,Kissena Park South
47_596.00,2.593604083,Brooklyn,Sheepshead Bay
47_402.00,2.590653629,Brooklyn,Gravesend
47_1214.00,2.587187491,Brooklyn,East New York
47_106.00,2.581621329,Brooklyn,Sunset Park
47_830.00,2.580175378,Brooklyn,Flatbush
47_1102.00,2.579850696,Brooklyn,East New York
81_1447.00,2.578366141,Queens,Bayside
81_580.00,2.577627484,Queens,Queens Village
47_1208.00,2.576560338,Brooklyn,East New York
47_788.00,2.575605375,Brooklyn,Flatbush
47_590.00,2.573786702,Brooklyn,Sheepshead Bay
47_614.00,2.570332752,Brooklyn,Manhattan Beach
81_246.00,2.569744585,Queens,Jamaica
47_648.00,2.569556083,Brooklyn,Marine Park
47_618.00,2.568946753,Brooklyn,Manhattan Beach
81_1377.00,2.568292803,Queens,Oakland Gardens
81_620.00,2.566740868,Queens,Laurelton
47_562.00,2.565698874,Brooklyn,Manhattan Terrace
47_872.00,2.564675885,Brooklyn,East Flatbush
81_410.00,2.561541462,Queens,Jamaica
47_382.00,2.556191034,Brooklyn,Gravesend
81_517.00,2.555964892,Queens,Maspeth
81_769.02,2.554984537,Queens,Forest Hills Gardens
81_1010.01,2.554446228,Queens,Far Rockaway
47_500.00,2.553725475,Brooklyn,Windsor Terrace
81_1207.00,2.545301192,Queens,East Flushing
81_1579.03,2.538016451,Queens,New Hyde Park
47_742.00,2.536882069,Brooklyn,Flatlands
47_866.00,2.52571545,Brooklyn,East Flatbush
81_1579.01,2.523616978,Queens,New Hyde Park
81_278.00,2.519833498,Queens,South Jamaica
47_370.00,2.519461832,Brooklyn,Sheepshead Bay
81_889.01,2.514590365,Queens,Flushing
81_929.00,2.513743281,Queens,College Point
81_608.00,2.510228733,Queens,Cambria Heights
61_114.01,2.50714526,Manhattan,Gold Coast - Upper East Side
47_518.00,2.507030201,Brooklyn,Ditmas Park
81_88.00,2.503509044,Queens,Ozone Park
47_542.00,2.499152076,Brooklyn,Midwood
